"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"KLCC, Kuala Lumpur","RM",1250000,"Serviced Residence","Built-up  ",1335,"sq. ft.","Fully Furnished"
"Dutamas, Kuala Lumpur","RM",1030000,"Condominium (Corner)","Built-up  ",1875,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",9e+05,"Condominium (Corner)","Built-up  ",1513,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",5350000,"Bungalow","Land area  ",7200,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",2600000,"Semi-detached House","Land area  ",3600,"sq. ft.","Partly Furnished"
"Sri Petaling, Kuala Lumpur","RM",385000,"Apartment (Intermediate)","Built-up  ",904,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",4580000,"Bungalow (Intermediate)","Land area  ",6000,"sq. ft.","Partly Furnished"
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM",9e+06,"Bungalow (Corner)","Land area  ",8500,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1780000,"Condominium (Corner)","Built-up  ",1830,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",3450000,"Condominium (Corner)","Built-up  ",3720,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1500000,"Condominium (Corner)","Built-up  ",1798,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",1550000,"Serviced Residence (Intermediate)","Built-up  ",904,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1500000,"Condominium","Built-up  ",2163,"sq. ft.","Fully Furnished"
"Bangsar South, Kuala Lumpur","RM",490000,"Serviced Residence","Built-up  ",520,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",610000,"Condominium (Intermediate)","Built-up  ",1236,"sq. ft.","Partly Furnished"
"Dutamas, Kuala Lumpur","RM",1035880,"Condominium (EndLot)","Built-up  ",1876,"sq. ft.","Partly Furnished"
"Ampang Hilir, Kuala Lumpur","RM",3300000,"Condominium","Built-up  ",3536,"sq. ft.","Unfurnished"
"Ampang Hilir, Kuala Lumpur","RM",460000,"Serviced Residence","Built-up  ",613,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2400000,"Serviced Residence","Built-up  ",1006,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",1438000,"Condominium (Corner)","Built-up  ",2378,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1720000,"Condominium (Corner)","Built-up  ",2020,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",4280000,"Serviced Residence (Corner)","Built-up  ",2195,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2300000,"Serviced Residence","Built-up  ",1023,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",4200000,"Bungalow","Land area  ",5274,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2700000,"Serviced Residence (Corner)","Built-up  ",3095,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1080000,"Serviced Residence","Built-up  ",896,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1150000,"Condominium (Corner)","Built-up  ",1200,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1070000,"Condominium (EndLot)","Built-up  ",1772,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",930000,"Condominium (EndLot)","Built-up  ",1513,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",780000,"Serviced Residence (Corner)","Built-up  ",880,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",4098000,"Serviced Residence (Intermediate)","Built-up  ",2066,"sq. ft.","Partly Furnished"
"KL City, Kuala Lumpur","RM",1800000,"Serviced Residence (Duplex)","Built-up  ",1244,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",2300000,"Condominium (Corner)","Built-up  ",2702,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",4e+06,"Condominium (Intermediate)","Built-up  ",2250,"sq. ft.","Fully Furnished"
"Ampang Hilir, Kuala Lumpur","RM",4800000,"Condominium","Built-up  ",4300,"sq. ft.","Partly Furnished"
"Ampang Hilir, Kuala Lumpur","RM",3780000,"Condominium (Corner)","Built-up  ",3628,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",850000,"Serviced Residence","Built-up  ",1050,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1698800,"Serviced Residence (Intermediate)","Built-up  ",1227,"sq. ft.","Fully Furnished"
