"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Bangsar, Kuala Lumpur","RM",3800000,"Bungalow (Corner)","Built-up  ",4067,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.2e+07,"Bungalow","Land area  ",11500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4900000,"Bungalow (Intermediate)","Land area  ",11676,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6380000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6900000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6842500,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8476050,"Condominium","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8280000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9960000,"Condominium","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6660000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6300000,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7500000,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7400000,"Condominium","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6800000,"Bungalow","Land area  ",7416,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7600000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",14800000,"Bungalow (Intermediate)","Land area  ",6507,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Semi-detached House","Land area  ",4800,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.8e+07,"Bungalow (Intermediate)","Land area  ",15000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8200000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9e+06,"Bungalow (Intermediate)","Land area  ",8000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5800000,"Bungalow","Land area  ",6600,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2900000,"2-sty Terrace/Link House (EndLot)","Land area  ",3254,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2900000,"2-sty Terrace/Link House (EndLot)","Land area  ",3400,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7e+06,"Bungalow (Corner)","Land area  ",6846,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2990000,"2-sty Terrace/Link House (EndLot)","Land area  ",3315,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2100000,"2-sty Terrace/Link House (Intermediate)","Land area  ",1875,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5200000,"Bungalow","Land area  ",12250,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2400000,"2-sty Terrace/Link House (Intermediate)","Land area  ",2125,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6950000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6480000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6880000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
